0	(
1	)
2	-
3	.
4	0
5	1
6	2
7	3
8	4
9	5
10	6
11	7
12	8
13	9
14	A
15	B
16	C
17	D
18	E
19	F
20	G
21	H
22	I
23	J
24	K
25	L
26	M
27	N
28	O
29	P
30	Q
31	R
32	S
33	T
34	U
35	V
36	W
37	X
38	Y
39	Z
40	가
41	각
42	간
43	갇
44	갈
45	갉
46	감
47	갑
48	값
49	갓
50	갔
51	강
52	갖
53	같
54	갚
55	개
56	객
57	갠
58	갤
59	갬
60	갭
61	갯
62	갱
63	갸
64	걀
65	걍
66	거
67	걱
68	건
69	걷
70	걸
71	검
72	겁
73	것
74	겅
75	겉
76	게
77	겐
78	겔
79	겜
80	겟
81	겠
82	겡
83	겨
84	격
85	겪
86	견
87	결
88	겸
89	겹
90	겼
91	경
92	곁
93	계
94	고
95	곡
96	곤
97	곧
98	골
99	곰
100	곱
101	곳
102	공
103	곶
104	과
105	곽
106	관
107	괄
108	괌
109	광
110	괘
111	괜
112	괭
113	괴
114	굉
115	교
116	구
117	국
118	군
119	굳
120	굴
121	굵
122	굶
123	굼
124	굽
125	굿
126	궁
127	궂
128	궈
129	권
130	궐
131	궤
132	귀
133	귄
134	귈
135	귓
136	규
137	균
138	귤
139	그
140	극
141	근
142	글
143	긁
144	금
145	급
146	긋
147	긍
148	기
149	긱
150	긴
151	길
152	김
153	깁
154	깃
155	깅
156	깊
157	까
158	깍
159	깎
160	깐
161	깔
162	깜
163	깝
164	깡
165	깥
166	깨
167	깬
168	깻
169	깽
170	꺄
171	꺼
172	꺽
173	꺾
174	껀
175	껄
176	껌
177	껍
178	껏
179	껐
180	껑
181	께
182	껴
183	꼈
184	꼬
185	꼭
186	꼰
187	꼴
188	꼼
189	꼽
190	꽁
191	꽂
192	꽃
193	꽈
194	꽉
195	꽝
196	꽤
197	꽥
198	꾀
199	꾸
200	꾹
201	꾼
202	꿀
203	꿇
204	꿈
205	꿉
206	꿍
207	꿔
208	꿨
209	꿩
210	꿰
211	뀌
212	뀐
213	뀔
214	끄
215	끈
216	끊
217	끌
218	끓
219	끔
220	끗
221	끝
222	끼
223	끽
224	낀
225	낄
226	낌
227	나
228	낙
229	낚
230	난
231	날
232	낡
233	남
234	납
235	낫
236	났
237	낭
238	낮
239	낯
240	낱
241	낳
242	내
243	낵
244	낸
245	낼
246	냄
247	냅
248	냇
249	냈
250	냉
251	냐
252	냔
253	냥
254	너
255	넉
256	넌
257	널
258	넒
259	넓
260	넘
261	넙
262	넛
263	넝
264	넣
265	네
266	넥
267	넨
268	넬
269	넵
270	넷
271	녀
272	녁
273	년
274	념
275	녔
276	녕
277	녘
278	녜
279	노
280	녹
281	논
282	놀
283	놈
284	놉
285	놋
286	농
287	높
288	놓
289	놔
290	놨
291	뇌
292	뇨
293	뇰
294	뇽
295	누
296	눅
297	눈
298	눌
299	눔
